iso3,country,region,year,buffer_km,pop_near,num_plants,pop_total,pct_near
ROU,ROMANIA,Europe - Central and Eastern,2000,30,141577.0,1,16522800.0,0.8568584017236788
ROU,ROMANIA,Europe - Central and Eastern,2000,75,1185700.0,1,16522800.0,7.1761444791439715
ROU,ROMANIA,Europe - Central and Eastern,2000,300,16522800.0,1,16522800.0,100.0
ROU,ROMANIA,Europe - Central and Eastern,2010,30,135785.0,1,15645700.0,0.8678742402065743
ROU,ROMANIA,Europe - Central and Eastern,2010,75,1134140.0,1,15645700.0,7.248892666994765
ROU,ROMANIA,Europe - Central and Eastern,2010,300,15645700.0,1,15645700.0,100.0
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,1990,30,5560922.583000001,14,161991193.9,3.4328548664397496
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,1990,75,24346988.34,14,161991193.9,15.02982214886929
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,1990,300,161991193.9,14,161991193.9,100.0
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,2000,30,5112309.257999999,14,153695606.6,3.3262559490753842
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,2000,75,22558993.939999998,14,153695606.6,14.67770903739027
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,2000,300,153695606.6,14,153695606.6,100.0
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,2010,30,4889691.335,14,147191026.7,3.3220036877424675
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,2010,75,21607320.34,14,147191026.7,14.679780978795225
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,2010,300,147191026.7,14,147191026.7,100.0
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,1990,30,651069.0,2,74925800.0,0.8689516828649144
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,1990,75,4428190.0,2,74925800.0,5.910100392655133
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,1990,300,74925800.0,2,74925800.0,100.0
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,2000,30,670569.0,2,76166600.0,0.8803977071314723
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,2000,75,4571160.0,2,76166600.0,6.001528228908734
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,2000,300,76166600.0,2,76166600.0,100.0
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,2010,30,680406.0,2,76323600.0,0.8914752448783863
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,2010,75,4618700.0,2,76323600.0,6.051470318486025
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,2010,300,76323600.0,2,76323600.0,100.0
SVN,SLOVENIA,Europe - Central and Eastern,1990,30,288370.0,1,23599400.0,1.2219378458774375
SVN,SLOVENIA,Europe - Central and Eastern,1990,75,2455150.0,1,23599400.0,10.403442460401536
SVN,SLOVENIA,Europe - Central and Eastern,1990,300,23599400.0,1,23599400.0,100.0
SVN,SLOVENIA,Europe - Central and Eastern,2000,30,291195.0,1,23516200.0,1.2382740408739508
SVN,SLOVENIA,Europe - Central and Eastern,2000,75,2490680.0,1,23516200.0,10.591337035745571
SVN,SLOVENIA,Europe - Central and Eastern,2000,300,23516200.0,1,23516200.0,100.0
SVN,SLOVENIA,Europe - Central and Eastern,2010,30,288540.0,1,24001700.0,1.2021648466566952
SVN,SLOVENIA,Europe - Central and Eastern,2010,75,2468320.0,1,24001700.0,10.283938221042677
SVN,SLOVENIA,Europe - Central and Eastern,2010,300,24001700.0,1,24001700.0,100.0
SWE,SWEDEN,Europe - Western,1990,30,2741693.3,5,41410710.0,6.620734829226545
SWE,SWEDEN,Europe - Western,1990,75,5867430.0,5,41410710.0,14.168870806610173
SWE,SWEDEN,Europe - Western,1990,300,41410710.0,5,41410710.0,100.0
SWE,SWEDEN,Europe - Western,2000,30,2941528.4,5,42866530.0,6.862063246080333
SWE,SWEDEN,Europe - Western,2000,75,6239479.0,5,42866530.0,14.555596172584998
SWE,SWEDEN,Europe - Western,2000,300,42866530.0,5,42866530.0,100.0
SWE,SWEDEN,Europe - Western,2010,30,3066691.8,5,44419820.0,6.903881645625759
SWE,SWEDEN,Europe - Western,2010,75,6509325.0,5,44419820.0,14.654100354301299
SWE,SWEDEN,Europe - Western,2010,300,44419820.0,5,44419820.0,100.0
UKR,UKRAINE,Europe - Central and Eastern,1990,30,781406.3,5,100945800.0,0.7740850040318666
UKR,UKRAINE,Europe - Central and Eastern,1990,75,4740460.0,5,100945800.0,4.6960448082040065
UKR,UKRAINE,Europe - Central and Eastern,1990,300,100945800.0,5,100945800.0,100.0
UKR,UKRAINE,Europe - Central and Eastern,2000,30,824109.8,5,96647200.0,0.8526990952660813
UKR,UKRAINE,Europe - Central and Eastern,2000,75,4599349.0,5,96647200.0,4.758905586504317
UKR,UKRAINE,Europe - Central and Eastern,2000,300,96647200.0,5,96647200.0,100.0
UKR,UKRAINE,Europe - Central and Eastern,2010,30,764293.4,5,90074100.0,0.848516277154032
UKR,UKRAINE,Europe - Central and Eastern,2010,75,4272522.0,5,90074100.0,4.743341315650115
UKR,UKRAINE,Europe - Central and Eastern,2010,300,90074100.0,5,90074100.0,100.0
USA,UNITED STATES OF AMERICA,America - Northern,1990,30,19595136.66,85,1461997920.0,1.3402985320252712
USA,UNITED STATES OF AMERICA,America - Northern,1990,75,159219609.0,85,1461997920.0,10.89054962540576
USA,UNITED STATES OF AMERICA,America - Northern,1990,300,1461997920.0,85,1461997920.0,100.0
USA,UNITED STATES OF AMERICA,America - Northern,2000,30,21497499.7,85,1590573750.0,1.3515562984740568
USA,UNITED STATES OF AMERICA,America - Northern,2000,75,173550407.0,85,1590573750.0,10.911182647142265
USA,UNITED STATES OF AMERICA,America - Northern,2000,300,1590573750.0,85,1590573750.0,100.0
